Incident energy;MT=2 : (z,elastic);MT=102 : (z,γ)
Incident energy;;
Incident energy;σ(E);σ(E)
35.0;4.748194;1.043109E-4
40.0;4.748159;9.757225E-5
42.5;4.748143;9.470697E-5
50.0;4.7481;8.732267E-5
62.5;4.748038;7.817039E-5
75.0;4.747981;7.140473E-5
80.0;4.747961;6.912626E-5
87.5;4.74793;6.614567E-5
100.0;4.74788;6.187295E-5
125.0;4.747786;5.568217E-5
150.0;4.747695;5.110038E-5
175.0;4.747606;4.752713E-5
200.0;4.747518;4.460049E-5
237.5;4.747387;4.112805E-5
275.0;4.747257;3.839991E-5
312.5;4.747129;3.613709E-5
350.0;4.747;3.426324E-5
400.0;4.746831;3.215232E-5
425.0;4.746745;3.126003E-5
500.0;4.74649;2.893885E-5
625.0;4.746066;2.60519E-5
750.0;4.745644;2.390561E-5
800.0;4.745474;2.317844E-5
875.0;4.745221;2.223025E-5
1000.0;4.744798;2.086207E-5
1250.0;4.743954;1.906549E-5
1500.0;4.743111;1.771947E-5
1750.0;4.742268;1.665365E-5
2000.0;4.741425;1.577129E-5
2181.015;4.740815;1.535594E-5
2187.5;4.740793;1.534231E-5
2205.079;4.740734;1.530612E-5
2222.657;4.740675;1.526994E-5
2257.813;4.740557;1.519757E-5
2328.125;4.740321;1.505284E-5
2468.75;4.739848;1.479386E-5
2750.0;4.738902;1.43049E-5
3500.0;4.736379;1.328375E-5
4000.0;4.734697;1.274485E-5
4250.0;4.733856;1.251717E-5
5000.0;4.731334;1.190083E-5
6250.0;4.727149;1.150029E-5
7500.0;4.722963;1.118597E-5
8750.0;4.718778;1.092098E-5
10000.0;4.714592;1.06905E-5
12500.0;4.706289;1.07075E-5
15000.0;4.697987;1.0725E-5
17500.0;4.689684;1.07425E-5
20000.0;4.681382;1.076033E-5
23750.0;4.669198;1.111916E-5
23784.14;4.669087;1.112239E-5
27085.11;4.658362;1.14022E-5
27500.0;4.657014;1.143305E-5
28437.5;4.653968;1.150267E-5
29375.0;4.650922;1.15723E-5
31250.0;4.64483;1.171154E-5
35000.0;4.632647;1.196745E-5
38750.0;4.620463;1.220532E-5
40000.0;4.616401;1.228456E-5
42500.0;4.608279;1.241846E-5
50000.0;4.583912;1.282014E-5
62500.0;4.545015;1.376745E-5
67712.78;4.528794;1.413273E-5
68750.0;4.525567;1.420007E-5
74645.39;4.507222;1.458259E-5
75000.0;4.506119;1.460381E-5
76424.7;4.501686;1.468889E-5
77849.39;4.497252;1.477397E-5
80698.78;4.488385;1.494412E-5
86397.56;4.470653;1.528439E-5
87500.0;4.467222;1.534405E-5
100000.0;4.428327;1.601999E-5
125000.0;4.354562;1.7335E-5
150000.0;4.280799;1.864992E-5
175000.0;4.210781;1.976E-5
200000.0;4.140766;2.086994E-5
225000.0;4.074241;2.1845E-5
250000.0;4.00772;2.281992E-5
275000.0;3.944455;2.364982E-5
300000.0;3.881194;2.44796E-5
325000.0;3.820977;2.524734E-5
350000.0;3.760764;2.601499E-5
400000.0;3.646039;2.742647E-5
450000.0;3.536661;2.86203E-5
500000.0;3.432303;2.971253E-5
550000.0;3.33266;3.065738E-5
600000.0;3.237455;3.160213E-5
650000.0;3.14643;3.242378E-5
700000.0;3.059347;3.324534E-5
750000.0;2.975988;3.39884E-5
800000.0;2.896148;3.47314E-5
850000.0;2.81964;3.542556E-5
900000.0;2.746288;3.61197E-5
950000.0;2.675935;3.681267E-5
1000000.0;2.60843;3.75056E-5
1100000.0;2.48142;3.873371E-5
1200000.0;2.364277;3.996172E-5
1300000.0;2.256166;4.101289E-5
1400000.0;2.156393;4.206397E-5
1500000.0;2.064385;4.29992E-5
1600000.0;1.97969;4.393435E-5
1700000.0;1.901959;4.477736E-5
1800000.0;1.830914;4.56203E-5
1900000.0;1.766248;4.638282E-5
2000000.0;1.709164;4.714526E-5
2010000.0;1.704926;4.720934E-5
2020000.0;1.701973;4.727338E-5
2030000.0;1.701763;4.733742E-5
2040000.0;1.708258;4.740146E-5
2050000.0;1.734766;4.74655E-5
2055000.0;1.769594;4.749752E-5
2060000.0;1.845246;4.752954E-5
2064000.0;1.981413;4.755516E-5
2066000.0;2.108019;4.756797E-5
2068000.0;2.314719;4.758078E-5
2070000.0;2.67124;4.759359E-5
2071000.0;2.944794;4.759999E-5
2072000.0;3.313783;4.760639E-5
2073000.0;3.805401;4.76128E-5
2074000.0;4.431504;4.76192E-5
2075000.0;5.14519;4.762561E-5
2076000.0;5.781755;4.763201E-5
2076200.0;5.876891;4.763329E-5
2076400.0;5.956192;4.763457E-5
2076600.0;6.017883;4.763585E-5
2076800.0;6.06059;4.763713E-5
2077000.0;6.083418;4.763841E-5
2077200.0;6.086012;4.763969E-5
2077400.0;6.068566;4.764098E-5
2077600.0;6.031811;4.764226E-5
2077800.0;5.976959;4.764354E-5
2078000.0;5.90562;4.764482E-5
2079000.0;5.372967;4.765122E-5
2080000.0;4.729167;4.765763E-5
2082000.0;3.656521;4.767043E-5
2084000.0;2.994315;4.768324E-5
2086000.0;2.601853;4.769605E-5
2088000.0;2.359633;4.770886E-5
2090000.0;2.201975;4.772167E-5
2095000.0;1.986849;4.775369E-5
2100000.0;1.883359;4.778571E-5
2110000.0;1.787925;4.784975E-5
2120000.0;1.744267;4.791379E-5
2130000.0;1.71912;4.797783E-5
2140000.0;1.70238;4.804187E-5
2150000.0;1.690092;4.810591E-5
2160000.0;1.680433;4.816995E-5
2180000.0;1.665645;4.829803E-5
2200000.0;1.654325;4.842612E-5
2220000.0;1.645066;4.85542E-5
2240000.0;1.63723;4.868228E-5
2260000.0;1.630502;4.881036E-5
2280000.0;1.624715;4.893844E-5
2300000.0;1.619783;4.906652E-5
2320000.0;1.615663;4.919461E-5
2340000.0;1.612341;4.932269E-5
2360000.0;1.609826;4.945077E-5
2380000.0;1.608136;4.957885E-5
2400000.0;1.607307;4.970693E-5
2420000.0;1.60738;4.983501E-5
2440000.0;1.60841;4.99631E-5
2460000.0;1.610462;5.009118E-5
2480000.0;1.61361;5.021926E-5
2500000.0;1.617943;5.034734E-5
2520000.0;1.623563;5.046331E-5
2540000.0;1.630589;5.057928E-5
2560000.0;1.639162;5.069525E-5
2580000.0;1.649444;5.081122E-5
2600000.0;1.661631;5.092719E-5
2620000.0;1.675954;5.104316E-5
2640000.0;1.692695;5.115913E-5
2660000.0;1.712199;5.12751E-5
2680000.0;1.734895;5.139107E-5
2700000.0;1.76133;5.150704E-5
2720000.0;1.792213;5.162301E-5
2740000.0;1.828502;5.173898E-5
2760000.0;1.871566;5.185496E-5
2780000.0;1.923749;5.197093E-5
2800000.0;1.994268;5.20869E-5
2802000.0;2.004517;5.209849E-5
2804000.0;2.01669;5.211009E-5
2806000.0;2.032282;5.212169E-5
2808000.0;2.054727;5.213328E-5
2810000.0;2.093414;5.214488E-5
2812000.0;2.181858;5.215648E-5
2813000.0;2.284067;5.216228E-5
2814000.0;2.510253;5.216808E-5
2814500.0;2.738669;5.217097E-5
2815000.0;3.140644;5.217387E-5
2815500.0;3.857434;5.217677E-5
2816000.0;4.88172;5.217967E-5
2816500.0;5.252998;5.218257E-5
2817000.0;4.385144;5.218547E-5
2817500.0;3.479561;5.218837E-5
2818000.0;2.940223;5.219127E-5
2819000.0;2.465971;5.219707E-5
2820000.0;2.289343;5.220287E-5
2822000.0;2.168338;5.221446E-5
2824000.0;2.132553;5.222606E-5
2826000.0;2.121215;5.223766E-5
2828000.0;2.119481;5.224925E-5
2830000.0;2.122349;5.226085E-5
2835000.0;2.138663;5.228984E-5
2840000.0;2.161153;5.231884E-5
2845000.0;2.187096;5.234783E-5
2850000.0;2.215737;5.237682E-5
2855000.0;2.246901;5.240581E-5
2860000.0;2.280635;5.243481E-5
2865000.0;2.317097;5.24638E-5
2870000.0;2.356516;5.249279E-5
2875000.0;2.399168;5.252179E-5
2880000.0;2.445374;5.255078E-5
2885000.0;2.495485;5.257977E-5
2890000.0;2.549872;5.260876E-5
2895000.0;2.608903;5.263776E-5
2900000.0;2.672906;5.266675E-5
2905000.0;2.742094;5.269574E-5
2910000.0;2.816453;5.272473E-5
2915000.0;2.895546;5.275373E-5
2920000.0;2.978192;5.278272E-5
2925000.0;3.061975;5.281171E-5
2930000.0;3.14252;5.28407E-5
2935000.0;3.212524;5.28697E-5
2940000.0;3.260745;5.289869E-5
2941000.0;3.266469;5.290449E-5
2943000.0;3.272869;5.291608E-5
2945000.0;3.271517;5.292768E-5
2947000.0;3.26116;5.293928E-5
2950000.0;3.226082;5.295667E-5
2955000.0;3.107355;5.298567E-5
2960000.0;2.908461;5.301466E-5
2965000.0;2.641162;5.304365E-5
2970000.0;2.336609;5.307264E-5
2975000.0;2.034646;5.310164E-5
2980000.0;1.768531;5.313063E-5
2985000.0;1.5559;5.315962E-5
2990000.0;1.399408;5.318861E-5
2995000.0;1.29253;5.321761E-5
3000000.0;1.225292;5.32466E-5
3005000.0;1.187799;5.327498E-5
3010000.0;1.171745;5.330336E-5
3015000.0;1.170726;5.333174E-5
3020000.0;1.180033;5.336012E-5
3025000.0;1.1963;5.33885E-5
3030000.0;1.217157;5.341688E-5
3035000.0;1.240957;5.344526E-5
3040000.0;1.266558;5.347364E-5
3045000.0;1.293176;5.350203E-5
3050000.0;1.320277;5.353041E-5
3060000.0;1.374604;5.358717E-5
3070000.0;1.42789;5.364393E-5
3080000.0;1.479485;5.370069E-5
3090000.0;1.529217;5.375745E-5
3100000.0;1.577135;5.381421E-5
3110000.0;1.623384;5.387097E-5
3120000.0;1.668139;5.392773E-5
3130000.0;1.711573;5.39845E-5
3140000.0;1.753849;5.404126E-5
3150000.0;1.795104;5.409802E-5
3160000.0;1.835459;5.415478E-5
3170000.0;1.875008;5.421154E-5
3180000.0;1.913828;5.42683E-5
3190000.0;1.951977;5.432506E-5
3200000.0;1.989493;5.438182E-5
3210000.0;2.026403;5.443859E-5
3220000.0;2.062717;5.449535E-5
3230000.0;2.098436;5.455211E-5
3240000.0;2.133546;5.460887E-5
3250000.0;2.168028;5.466563E-5
3260000.0;2.201852;5.472239E-5
3270000.0;2.234981;5.477915E-5
3280000.0;2.267372;5.483591E-5
3290000.0;2.298978;5.489267E-5
3300000.0;2.329746;5.494944E-5
3310000.0;2.35962;5.50062E-5
3320000.0;2.388544;5.506296E-5
3330000.0;2.416458;5.511972E-5
3340000.0;2.443303;5.517648E-5
3350000.0;2.46902;5.523324E-5
3360000.0;2.493551;5.529E-5
3370000.0;2.51684;5.534676E-5
3380000.0;2.538834;5.540353E-5
3390000.0;2.559486;5.546029E-5
3400000.0;2.578748;5.551705E-5
3410000.0;2.596581;5.557381E-5
3420000.0;2.612951;5.563057E-5
3430000.0;2.627826;5.568733E-5
3440000.0;2.641185;5.574409E-5
3450000.0;2.653011;5.580085E-5
3460000.0;2.663291;5.585762E-5
3470000.0;2.672023;5.591438E-5
3480000.0;2.679208;5.597114E-5
3490000.0;2.684855;5.60279E-5
3500000.0;2.688979;5.608466E-5
3510000.0;2.6916;5.613686E-5
3520000.0;2.692745;5.618906E-5
3530000.0;2.692446;5.624126E-5
3540000.0;2.690738;5.629346E-5
3550000.0;2.687662;5.634566E-5
3560000.0;2.683263;5.639786E-5
3570000.0;2.677589;5.645007E-5
3580000.0;2.670691;5.650227E-5
3590000.0;2.662623;5.655447E-5
3600000.0;2.653439;5.660667E-5
3610000.0;2.643196;5.665887E-5
3620000.0;2.631952;5.671107E-5
3630000.0;2.619765;5.676327E-5
3640000.0;2.606693;5.681547E-5
3650000.0;2.592796;5.686767E-5
3660000.0;2.578129;5.691987E-5
3670000.0;2.562749;5.697207E-5
3680000.0;2.546713;5.702427E-5
3690000.0;2.530074;5.707648E-5
3700000.0;2.512885;5.712868E-5
3710000.0;2.495196;5.718088E-5
3720000.0;2.477057;5.723308E-5
3730000.0;2.458514;5.728528E-5
3740000.0;2.439612;5.733748E-5
3750000.0;2.420395;5.738968E-5
3760000.0;2.400901;5.744188E-5
3770000.0;2.381171;5.749408E-5
3780000.0;2.361241;5.754628E-5
3790000.0;2.341145;5.759848E-5
