Incident energy;MT=102 : (z,γ);MT=18 : (z,fission)
Incident energy;;
Incident energy;σ(E);σ(E)
0.90625;8.845293;56.91376
0.9375;9.570359;58.97415
0.953125;10.07262;60.43974
0.96875;10.70882;62.29836
0.984375;11.5083;64.60984
1.0;12.51272;67.45583
1.0124;13.49443;70.16598
1.0248;14.67893;73.33885
1.038475;16.269;77.4332
1.05215;18.2138;82.18765
1.065825;20.5683;87.56701
1.0795;23.35646;93.37607
1.10685;29.8674;104.2468
1.120525;33.01766;107.4637
1.1342;35.45305;107.5507
1.144775;36.50401;104.8996
1.15535;36.63697;99.81863
1.168569;35.47137;90.61201
1.181788;33.07704;79.46019
1.195007;29.94201;67.84955
1.208225;26.56328;57.00534
1.2188;23.93759;49.38373
1.225388;22.40081;45.18945
1.234387;20.46656;40.1568
1.243385;18.7461;35.89771
1.252384;17.24591;32.36121
1.261382;15.9583;29.50192
1.270381;14.86225;27.28415
1.279379;13.92447;25.67256
1.288377;13.10042;24.60325
1.297375;12.34258;23.95978
1.306;11.64322;23.58792
1.314625;10.95458;23.29474
1.32325;10.28031;22.95697
1.339786;9.087823;22.02485
1.356321;8.109706;20.86797
1.372856;7.353754;19.76292
1.389391;6.764885;18.83406
1.405927;6.293705;18.08744
1.422462;5.908668;17.49073
1.455532;5.320401;16.61474
1.488603;4.896446;16.00608
1.521673;4.570794;15.53736
1.554743;4.321249;15.16322
1.587813;4.129821;14.85076
1.649641;3.892156;14.36908
1.711469;3.792329;13.97433
1.747536;3.806445;13.77699
1.783602;3.892179;13.60589
1.819669;4.087813;13.47006
1.837702;4.254641;13.4228
1.855735;4.489594;13.39513
1.876345;4.881121;13.39812
1.88665;5.149709;13.41984
1.896954;5.488011;13.46079
1.907259;5.920105;13.52748
1.917564;6.481123;13.62944
1.927869;7.225117;13.78136
1.933021;7.690841;13.88287
1.938173;8.238168;14.00661
1.945902;9.256047;14.24585
1.95363;10.59118;14.57147
1.958783;11.7178;14.85296
1.963935;13.08722;15.20057
1.969087;14.75503;15.62945
1.974239;16.7824;16.15631
1.979392;19.23163;16.79816
1.984544;22.15502;17.56935
1.989696;25.58452;18.47869
1.994848;29.5134;19.52449
2.0;33.87931;20.68995
2.01;43.03993;23.14147
2.01635;48.6677;24.64865
2.0227;53.45641;25.92895
2.02905;56.81577;26.8214
2.033819;58.11582;27.15927
2.038588;58.24293;27.17801
2.043369;57.18365;26.87363
2.04815;55.02402;26.26934
2.054525;50.73828;25.07986
2.0609;45.36268;23.59235
2.065679;40.98502;22.3816
2.077625;30.30358;19.42311
2.083598;25.66157;18.13282
2.08957;21.67572;17.02066
2.095543;18.35733;16.08992
2.101515;15.65559;15.32695
2.107488;13.48472;14.70853
2.11346;11.75155;14.20935
2.120627;10.12529;13.73398
2.127794;8.873959;13.3609
2.134962;7.898669;13.06318
2.142129;7.12714;12.82114
2.149296;6.507139;12.62052
2.156463;6.001537;12.45121
2.163631;5.583689;12.30592
2.170798;5.234422;12.17942
2.185132;4.687957;11.96811
2.194688;4.406361;11.84991
2.212606;3.999464;11.66145
2.230524;3.700833;11.50253
2.248442;3.474841;11.36322
2.26636;3.300348;11.23752
2.302196;3.05469;11.01185
2.338032;2.892314;10.80367
2.373868;2.78233;10.60112
2.409704;2.709963;10.3953
2.481375;2.649379;9.934772
2.534125;2.67351;9.501953
2.586875;2.779953;8.910458
2.61325;2.88208;8.527008
2.639625;3.035698;8.080881
2.666;3.268675;7.606211
2.692375;3.607299;7.256915
2.702313;3.762564;7.228903
2.71225;3.928765;7.301175
2.722188;4.099648;7.5052
2.732125;4.266098;7.868549
2.742063;4.416982;8.408478
2.752;4.540558;9.125297
2.761925;4.626608;9.997752
2.77185;4.668856;10.98663
2.786335;4.650532;12.52514
2.800819;4.553293;14.01673
2.815304;4.409589;15.32387
2.829788;4.255328;16.38427
2.844273;4.11916;17.20785
2.858757;4.018562;17.8478
2.873241;3.961185;18.37096
2.887725;3.948354;18.8387
2.908847;4.00671;19.52212
2.929969;4.156475;20.31277
2.951091;4.408004;21.31221
2.972213;4.782706;22.62268
2.993335;5.317106;24.36834
3.003896;5.661559;25.45416
3.014457;6.070143;26.7148
3.025018;6.554661;28.17868
3.035579;7.128674;29.87609
3.04614;7.806893;31.83635
3.0567;8.603512;34.08219
